,track_id,track_name,artist_name,artist_id,track_popularity,album_name,album_id,track_length,release_date,playlist_id,playlist_name,genre
1217,0ghEaoJZDYlfGjT8NwUNC0,Let Me Be Fucking Sad,ellie d.,1sb3Wnb1EfKjGrGZxC7uhh,32,Let Me Be Fucking Sad,08W3NsOnTsdLwisRG83Kn9,2.7,2022-07-27,37i9dQZF1DWSqBruwoIXkA,sad hour,Pop
1218,7136zBuda3024ZQUTBB1Vg,Haven't You Ever Been In Love Before?,Lewis Capaldi,4GNC7GD6oZMSxPGyXy4MNB,79,Broken By Desire To Be Heavenly Sent,0ECSyPejfD7oL95dD3jgoi,3.84,2023-05-19,37i9dQZF1DWSqBruwoIXkA,sad hour,Pop
1219,2nC3QhMI9reBIOWutbU3Tj,Moral of the Story,Ashe,6P5NO5hzJbuOqSdyPB7SJM,76,Moral of the Story,4yKwChgdGpJzf2nn3nPHfP,3.35,2019-02-14,37i9dQZF1DWSqBruwoIXkA,sad hour,Pop
1220,6X9ZLY4GUe4GB6moGblBIF,Kryptonite,Anson Seabra,2jHp7gQArCQrlMvdrIVFCg,61,Kryptonite,0Bif6rCwQmsJjz2YG6hje0,3.05,2023-03-31,37i9dQZF1DWSqBruwoIXkA,sad hour,Pop
1221,2bhbwipmX2S5PsE1VHPk0V,If You Were Mine,MINOVA,6mskRz8EwbqCXm39vtGStC,53,If You Were Mine,0O8mBcnG7nKSN6LEgfLrYw,3.65,2023-02-27,37i9dQZF1DWSqBruwoIXkA,sad hour,Pop
1222,2xXNLutYAOELYVObYb1C1S,As the World Caves In,Sarah Cothran,3kft86DbqCNr7rjq3pEj0G,75,As the World Caves In,0RiimwsSMUsxrBu0RsyuRH,2.69,2021-06-10,37i9dQZF1DWSqBruwoIXkA,sad hour,Pop
1223,1Ip2m42GTwiaG20hW7dtuZ,Don't Tell My Mom,Reneé Rapp,2hUYKu1x0UZQXvzCmggvSn,60,Everything To Everyone,4Kk5hoolfW8UN6cTSo5fXJ,3.15,2022-11-11,37i9dQZF1DWSqBruwoIXkA,sad hour,Pop
1224,2VgE8fT65dU0FgyA4z5nqN,do all my friends hate me?,Mckenna Grace,1ZjXhESKpjsv31L7ykuJBE,55,do all my friends hate me?,4Y7rAETgLemPCqrOrlgoRa,3.41,2022-02-11,37i9dQZF1DWSqBruwoIXkA,sad hour,Pop
1225,4wvgBJYPefTSk1Aa4vGgMb,Two Weeks Ago,Maisie Peters,2RVvqRBon9NgaGXKfywDSs,66,Two Weeks Ago,7shdch14iZNsphA7lUXPWF,2.99,2023-05-26,37i9dQZF1DWSqBruwoIXkA,sad hour,Pop
1226,6nTP3u1MTs7jdbJYaAdOZL,Once Again,thekid.ACE,4GqTDpyDAWrxQ9bVCtWIDM,41,Once Again,7IpWGAZmcCqcrnaEvqRjav,2.83,2023-05-31,37i9dQZF1DWSqBruwoIXkA,sad hour,Pop
1227,4qQJIuWmMXbtMAy3pnBpso,break my heart,Matt Hansen,6wlhqnATSJIc0NQ64VxOVJ,59,break my heart,7tSgsBAq25fhQJ4yuddr7o,2.97,2022-09-02,37i9dQZF1DWSqBruwoIXkA,sad hour,Pop
1228,3jwLmTcTwuE0xLR3sm6SqI,Just Married,Kelsea Ballerini,3RqBeV12Tt7A8xH3zBDDUF,63,Rolling Up the Welcome Mat,7qxClQvz2eSkDB7CtFfPZH,3.3,2023-02-14,37i9dQZF1DWSqBruwoIXkA,sad hour,Pop
1229,2NmsngXHeC1GQ9wWrzhOMf,illicit affairs,Taylor Swift,06HL4z0CvFAxyc27GXpf02,79,folklore,2fenSS68JI1h4Fo296JfGr,3.18,2020-07-24,37i9dQZF1DWSqBruwoIXkA,sad hour,Pop
1230,7BpqydHSxMviDR0DNTne6J,Yours,Conan Gray,4Uc8Dsxct0oMqx0P6i60ea,61,Yours,2i4vxgeB2Sn97KeBs2vYtO,3.42,2022-05-19,37i9dQZF1DWSqBruwoIXkA,sad hour,Pop
1231,5fuNhRavX030PFZ42Am6Vn,Good Enough,Maisie Peters,2RVvqRBon9NgaGXKfywDSs,58,Good Enough,4eWDu7RMRXyXo6MvqLujDk,3.69,2022-08-18,37i9dQZF1DWSqBruwoIXkA,sad hour,Pop
1232,3LpbQsIPCrp4nKqmCbx7xi,Seeing Other People,Francis Karel,2ICBdsgeKJwqgRZv2yU5s6,49,Seeing Other People,014cyjQZihVY9akGL5uoIx,3.5,2022-12-09,37i9dQZF1DWSqBruwoIXkA,sad hour,Pop
1233,306BR5TD0UlriDlzObxvk9,you don't love me anymore,Cat Burns,6WFDpw4u23uSpon4BHvFRn,65,you don't love me anymore,2O5GUvgsw90TPr0ZkXyvRF,3.41,2023-05-26,37i9dQZF1DWSqBruwoIXkA,sad hour,Pop
1234,2cEMwE3n0z4Uw4xVwNqDst,Learning To Live Without You,Hajaj,08yjRkGm8KNsShKjtbEmt6,52,Learning To Live Without You,4D3Kj2stDw3tnnfjOBrEvB,3.23,2021-10-15,37i9dQZF1DWSqBruwoIXkA,sad hour,Pop
